credit_score,geography,gender,age,tenure,balance,num_of_products,has_cr_card,is_active_member,estimated_salary,exited
619,France,Female,42,2,0,1,Sim,Sim,101348.88,Sim
608,Spain,Female,41,1,83807.86,1,Nao,Sim,112542.58,Nao
502,France,Female,42,8,159660.8,3,Sim,Nao,113931.57,Sim
699,France,Female,39,1,0,2,Nao,Nao,93826.63,Nao
850,Spain,Female,43,2,125510.82,1,Sim,Sim,79084.1,Nao
645,Spain,Male,44,8,113755.78,2,Sim,Nao,149756.71,Sim
822,France,Male,50,7,0,2,Sim,Sim,10062.8,Nao
376,Germany,Female,29,4,115046.74,4,Sim,Nao,119346.88,Sim
501,France,Male,44,4,142051.07,2,Nao,Sim,74940.5,Nao
684,France,Male,27,2,134603.88,1,Sim,Sim,71725.73,Nao
528,France,Male,31,6,102016.72,2,Nao,Nao,80181.12,Nao
497,Spain,Male,24,3,0,2,Sim,Nao,76390.01,Nao
476,France,Female,34,10,0,2,Sim,Nao,26260.98,Nao
549,France,Female,25,5,0,2,Nao,Nao,190857.79,Nao
635,Spain,Female,35,7,0,2,Sim,Sim,65951.65,Nao
616,Germany,Male,45,3,143129.41,2,Nao,Sim,64327.26,Nao
653,Germany,Male,58,1,132602.88,1,Sim,Nao,5097.67,Sim
549,Spain,Female,24,9,0,2,Sim,Sim,14406.41,Nao
587,Spain,Male,45,6,0,1,Nao,Nao,158684.81,Nao
726,France,Female,24,6,0,2,Sim,Sim,54724.03,Nao
732,France,Male,41,8,0,2,Sim,Sim,170886.17,Nao
636,Spain,Female,32,8,0,2,Sim,Nao,138555.46,Nao
510,Spain,Female,38,4,0,1,Sim,Nao,118913.53,Sim
669,France,Male,46,3,0,2,Nao,Sim,8487.75,Nao
846,France,Female,38,5,0,1,Sim,Sim,187616.16,Nao
577,France,Male,25,3,0,2,Nao,Sim,124508.29,Nao
756,Germany,Male,36,2,136815.64,1,Sim,Sim,170041.95,Nao
571,France,Male,44,9,0,2,Nao,Nao,38433.35,Nao
574,Germany,Female,43,3,141349.43,1,Sim,Sim,100187.43,Nao
411,France,Male,29,0,59697.17,2,Sim,Sim,53483.21,Nao
591,Spain,Female,39,3,0,3,Sim,Nao,140469.38,Sim
533,France,Male,36,7,85311.7,1,Nao,Sim,156731.91,Nao
553,Germany,Male,41,9,110112.54,2,Nao,Nao,81898.81,Nao
520,Spain,Female,42,6,0,2,Sim,Sim,34410.55,Nao
722,Spain,Female,29,9,0,2,Sim,Sim,142033.07,Nao
475,France,Female,45,0,134264.04,1,Sim,Nao,27822.99,Sim
490,Spain,Male,31,3,145260.23,1,Nao,Sim,114066.77,Nao
804,Spain,Male,33,7,76548.6,1,Nao,Sim,98453.45,Nao
850,France,Male,36,7,0,1,Sim,Sim,40812.9,Nao
582,Germany,Male,41,6,70349.48,2,Nao,Sim,178074.04,Nao
472,Spain,Male,40,4,0,1,Sim,Nao,70154.22,Nao
465,France,Female,51,8,122522.32,1,Nao,Nao,181297.65,Sim
556,France,Female,61,2,117419.35,1,Sim,Sim,94153.83,Nao
834,France,Female,49,2,131394.56,1,Nao,Nao,194365.76,Sim
660,Spain,Female,61,5,155931.11,1,Sim,Sim,158338.39,Nao
776,Germany,Female,32,4,109421.13,2,Sim,Sim,126517.46,Nao
829,Germany,Female,27,9,112045.67,1,Sim,Sim,119708.21,Sim
637,Germany,Female,39,9,137843.8,1,Sim,Sim,117622.8,Sim
550,Germany,Male,38,2,103391.38,1,Nao,Sim,90878.13,Nao
776,Germany,Female,37,2,103769.22,2,Sim,Nao,194099.12,Nao
698,Germany,Male,44,10,116363.37,2,Sim,Nao,198059.16,Nao
585,Germany,Male,36,5,146050.97,2,Nao,Nao,86424.57,Nao
788,France,Female,33,5,0,2,Nao,Nao,116978.19,Nao
655,Germany,Male,41,8,125561.97,1,Nao,Nao,164040.94,Sim
601,Germany,Male,42,1,98495.72,1,Sim,Nao,40014.76,Sim
619,France,Male,43,1,125211.92,1,Sim,Sim,113410.49,Nao
656,France,Male,45,5,127864.4,1,Sim,Nao,87107.57,Nao
725,Germany,Male,19,0,75888.2,1,Nao,Nao,45613.75,Nao
511,Spain,Female,66,4,0,1,Sim,Nao,1643.11,Sim
614,France,Male,51,4,40685.92,1,Sim,Sim,46775.28,Nao
742,Germany,Male,35,5,136857,1,Nao,Nao,84509.57,Nao
687,Germany,Female,27,9,152328.88,2,Nao,Nao,126494.82,Nao
555,Spain,Male,33,1,56084.69,2,Nao,Nao,178798.13,Nao
684,Spain,Male,56,8,78707.16,1,Sim,Sim,99398.36,Nao
603,Germany,Male,26,4,109166.37,1,Sim,Sim,92840.67,Nao
751,Germany,Female,36,6,169831.46,2,Sim,Sim,27758.36,Nao
581,Germany,Female,34,1,101633.04,1,Sim,Nao,110431.51,Nao
735,Germany,Male,43,10,123180.01,2,Sim,Sim,196673.28,Nao
661,Germany,Female,35,5,150725.53,2,Nao,Sim,113656.85,Nao
675,France,Female,21,8,98373.26,1,Sim,Nao,18203,Nao
738,Germany,Male,58,2,133745.44,4,Sim,Nao,28373.86,Sim
813,France,Male,29,6,0,1,Sim,Nao,33953.87,Nao
657,Spain,Female,37,0,163607.18,1,Nao,Sim,44203.55,Nao
604,Germany,Female,25,5,157780.84,2,Sim,Sim,58426.81,Nao
519,France,Male,36,9,0,2,Nao,Sim,145562.4,Nao
735,France,Female,21,1,178718.19,2,Sim,Nao,22388,Nao
